text,label,notes
"Phoebe Bridgers is the most overrated artist of the last decade. People only like her because she seems sad.",hot_take,classic hot take
"Tame Impala is just dad rock for millennials who think they have good taste.",hot_take,bold claim no evidence
"Radiohead peaked with OK Computer and everything after is self-indulgent noise.",hot_take,strong opinion no support
"Sufjan Stevens hasn't made a genuinely good album since Illinois.",hot_take,assertive no argument
"Indie music died when it got popular. Everything on r/indieheads now is just mainstream with a filter.",hot_take,vague assertion
"Arctic Monkeys should have stopped after Humbug. Everything since is embarrassing.",hot_take,opinion only
"Lana Del Rey is not a musician she is an aesthetic and people confuse the two.",hot_take,provocative no evidence
"The 1975 are the most pretentious band alive and their fans are even worse.",hot_take,attack no support
"Frank Ocean is overrated because he barely releases music and people treat scarcity as quality.",hot_take,interesting but unsupported
"Fleet Foxes are boring and I will die on this hill.",hot_take,blunt assertion
"Bon Iver sold out after For Emma and Justin Vernon knows it.",hot_take,no evidence
"Car Seat Headrest is unlistenable and Will Toledo needs an editor desperately.",hot_take,harsh no support
"Vampire Weekend peaked on Contra. Everything after is too polished and loses the energy.",hot_take,opinion stated as fact
"Mac DeMarco is coasting on charm and people mistake laziness for lo-fi aesthetic.",hot_take,provocative
"Mitski is incredible but her fanbase actively makes her music worse to engage with.",hot_take,opinion about fandom
"Soccer Mommy is the best songwriter of her generation and it's not even close.",hot_take,bold no argument
"Snail Mail writes better breakup songs than Taylor Swift has ever written.",hot_take,comparison no evidence
"The war on drugs are the most competent boring band in existence.",hot_take,contradiction no support
"Animal Collective ruined indie music for a generation by making weirdness seem mandatory.",hot_take,causation claim no evidence
"Guided by Voices has more good songs than the Beatles and I'm tired of pretending otherwise.",hot_take,provocative comparison
"Pavement is the most important band of the 90s and nothing comes close.",hot_take,strong claim no support
"Alex G is the best active songwriter and the fact that he isn't famous is a crime.",hot_take,bold assertion
"Slowdive's Souvlaki is better than My Bloody Valentine's Loveless and it's not debatable.",hot_take,genre comparison no evidence
"Waxahatchee got better when she got sober and I think that's not a coincidence.",hot_take,causal claim no support
"Grouper is the most emotionally devastating musician working today.",hot_take,superlative no evidence
"LCD Soundsystem is the most overrated live band in indie history.",hot_take,strong claim
"Sharon Van Etten peaked on Tramp and the newer polished sound is a mistake.",hot_take,opinion
"Hand Habits is criminally underrated and better than most artists with ten times the following.",hot_take,unsupported comparison
"Julien Baker makes music that is objectively too sad to be enjoyable.",hot_take,subjective stated as objective
"Neutral Milk Hotel is the most overhyped album experience in indie canon.",hot_take,against consensus
"Big Thief is one of the best bands working right now and Adrianne Lenker is a generational talent.",hot_take,praise without argument
"Japanese Breakfast is more talented than she gets credit for even with all the critical acclaim.",hot_take,vague
"Faye Webster makes the same song over and over and people treat it as a personality.",hot_take,repetition claim no evidence
"Arca is the only artist genuinely pushing music forward right now.",hot_take,bold superlative
"Destroyer is the most underrated band in indie and Dan Bejar deserves a MacArthur grant.",hot_take,strong opinion
"Julia Jacklin is a better lyricist than Phoebe Bridgers and it's not particularly close.",hot_take,comparison no support
"Alvvays makes perfect albums and anyone who disagrees hasn't listened carefully.",hot_take,absolute claim
"Gillian Welch is the greatest living folk musician and mainstream music ignores her criminally.",hot_take,superlative
"Weyes Blood is making the most important music of this decade.",hot_take,bold no evidence
"Perfume Genius gets more interesting with every album and Michael Hadreas is fearless.",hot_take,praise no analysis
"Angel Olsen's voice is the best instrument in indie music right now.",hot_take,superlative opinion
"Florist makes music that sounds like grief and nothing else comes close to that feeling.",hot_take,emotional assertion
"Squirrel Flower is the most underrated folk artist working today by a significant margin.",hot_take,unsupported claim
"Helena Deland writes the most quietly devastating songs in contemporary folk.",hot_take,superlative no support
"Courtney Barnett is the most honest lyricist of her generation.",hot_take,strong opinion
"Yo La Tengo is the most consistent band in indie history across four decades.",hot_take,claim without evidence
"Low's last three albums are the best run of late career albums in indie history.",hot_take,bold comparison
"Richard Dawson is the best songwriter you've never heard of.",hot_take,assertion
"Sun Kil Moon's Benji is the saddest album ever recorded and nothing comes close.",hot_take,absolute superlative
"Bill Callahan's voice is the most comforting sound in all of folk music.",hot_take,subjective superlative
"just heard For Emma Forever Ago for the first time and i am genuinely not okay. that album destroyed me.",reaction,clear emotional reaction
"listened to Fetch the Bolt Cutters all the way through for the first time today and i need to lie down for a week.",reaction,immediate emotional response
"ok i finally listened to In the Aeroplane Over the Sea and i understand now. i get it. i'm crying.",reaction,first listen reaction
"just got home from the Mitski show and i literally cannot speak. that was the most intense concert experience of my life.",reaction,post-concert reaction
"the new Boygenius track just dropped and i am sobbing in my car in a parking lot.",reaction,new release reaction
"i put on Carrie and Lowell for the first time and made it four songs before i had to stop. sufjan is not human.",reaction,emotional overwhelm
"just saw Phoebe Bridgers live for the first time. she played Moon Song and i lost it completely.",reaction,concert reaction
"the new Julia Jacklin single is everything i needed today and i didn't even know i needed it.",reaction,new release reaction
"i've been listening to Big Thief's Dragon New Warm Mountain on repeat for six hours and i'm not stopping.",reaction,obsessive listening
"first listen to Punisher and i have been sitting in silence for ten minutes. that album is something else.",reaction,post-listen silence
"the Alvvays set at the festival was transcendent. i was crying by the third song and didn't stop.",reaction,festival concert reaction
"the new Sharon Van Etten track hit me differently today and i don't know why but i'm emotional.",reaction,unexplained emotional reaction
"been playing Historian by Lucy Dacus on loop and every listen hits harder than the last.",reaction,repeated listening reaction
"saw Japanese Breakfast live and Michelle Zauner cried during Psychopomp and then i cried.",reaction,artist emotion triggering listener emotion
"the new Waxahatchee album just dropped and i'm three songs in and already texting everyone i know.",reaction,sharing excitement
"Angel Olsen's Whole New Mess just came on shuffle and i had to stop what i was doing and just listen.",reaction,shuffle surprise
"i finally listened to Twin Fantasy and Will Toledo singing 'i'm so glad you exist' made me genuinely tear up.",reaction,specific lyric reaction
"the Hand Habits album just destroyed me. i've been staring at the ceiling for an hour.",reaction,post-listen state
"put on Julien Baker's Turn Out the Lights alone at night and genuinely regret my choices.",reaction,mood mismatch reaction
"heard Florist for the first time today and i need everyone in my life to listen to this immediately.",reaction,discovery reaction
"Helena Deland's Someone New just came on and i had to pull over the car. that song is dangerous.",reaction,safety hazard reaction
"i cannot stop listening to the new Alex G album. i've played it four times today already.",reaction,repeat listening
"Snail Mail's Valentine came out and i sat with it for an entire afternoon and barely moved.",reaction,absorptive listening
"the Weyes Blood concert last night was genuinely life-changing and i know that sounds dramatic but i mean it.",reaction,concert life-change
"i put on Carrie and Lowell while doing dishes and had to stop doing dishes and just sit on the floor.",reaction,activity interruption
"the new Faye Webster single is so good i sent it to my mom and my mom doesn't even listen to music like this.",reaction,sharing with unlikely person
"heard the new Perfume Genius song on the radio and almost crashed my car it was so unexpected and beautiful.",reaction,radio surprise
"saw Soccer Mommy last night and she played Cool and i genuinely forgot to breathe for three minutes.",reaction,physical reaction at concert
"the new Big Thief song dropped today and adrianne lenker's voice in the chorus made me stop everything.",reaction,vocal reaction
"Grouper came on shuffle and now i'm just sitting in the dark and that feels right somehow.",reaction,mood matching
"finished listening to Once Twice Melody by Beach House and i feel like i've been somewhere else for two hours.",reaction,transportation feeling
